standardized_name,standardized_path,split,source_id,source_type,original_path,timestamp_seconds,width,height,blur,phash
ap_0000001.jpg,work/standardized/ap_0000001.jpg,train,S_1,video,D:\Data Science\Projects\aerial-human-detection\AerialPersonStudio_Final_v1.1\workspace\raw\videos\S_1.mp4,0.0,1280,720,314.82687939283113,65a9e1acaf28630b
ap_0000002.jpg,work/standardized/ap_0000002.jpg,train,S_1,video,D:\Data Science\Projects\aerial-human-detection\AerialPersonStudio_Final_v1.1\workspace\raw\videos\S_1.mp4,2.0,1280,720,215.99908953769707,74a1e9e0bf28632a
ap_0000003.jpg,work/standardized/ap_0000003.jpg,train,S_1,video,D:\Data Science\Projects\aerial-human-detection\AerialPersonStudio_Final_v1.1\workspace\raw\videos\S_1.mp4,4.0,1280,720,183.73237081682652,64a9e9e4b922672a
ap_0000004.jpg,work/standardized/ap_0000004.jpg,train,S_1,video,D:\Data Science\Projects\aerial-human-detection\AerialPersonStudio_Final_v1.1\workspace\raw\videos\S_1.mp4,5.0,1280,720,163.42378528349016,60a9e9e4b92a4f0b
ap_0000005.jpg,work/standardized/ap_0000005.jpg,train,S_1,video,D:\Data Science\Projects\aerial-human-detection\AerialPersonStudio_Final_v1.1\workspace\raw\videos\S_1.mp4,7.0,1280,720,197.3192074949995,60a9e8edbb2a0b2a
ap_0000006.jpg,work/standardized/ap_0000006.jpg,train,S_1,video,D:\Data Science\Projects\aerial-human-detection\AerialPersonStudio_Final_v1.1\workspace\raw\videos\S_1.mp4,11.0,1280,720,202.6852625543618,64a9f9e4ab2b032a
ap_0000007.jpg,work/standardized/ap_0000007.jpg,train,S_1,video,D:\Data Science\Projects\aerial-human-detection\AerialPersonStudio_Final_v1.1\workspace\raw\videos\S_1.mp4,13.0,1280,720,166.26758022956378,64a9f9eda922032b
ap_0000008.jpg,work/standardized/ap_0000008.jpg,train,S_1,video,D:\Data Science\Projects\aerial-human-detection\AerialPersonStudio_Final_v1.1\workspace\raw\videos\S_1.mp4,15.0,1280,720,188.70795135565865,60a9f9aca922672b
ap_0000009.jpg,work/standardized/ap_0000009.jpg,train,S_1,video,D:\Data Science\Projects\aerial-human-detection\AerialPersonStudio_Final_v1.1\workspace\raw\videos\S_1.mp4,17.0,1280,720,156.87401352846942,60b9e1acab2b612b
ap_0000010.jpg,work/standardized/ap_0000010.jpg,train,S_1,video,D:\Data Science\Projects\aerial-human-detection\AerialPersonStudio_Final_v1.1\workspace\raw\videos\S_1.mp4,18.0,1280,720,159.02829640023973,60a9e1a5a72f0f0b
ap_0000011.jpg,work/standardized/ap_0000011.jpg,train,S_1,video,D:\Data Science\Projects\aerial-human-detection\AerialPersonStudio_Final_v1.1\workspace\raw\videos\S_1.mp4,19.0,1280,720,150.1165341439659,70a1f5a5b62b5449
ap_0000012.jpg,work/standardized/ap_0000012.jpg,train,S_1,video,D:\Data Science\Projects\aerial-human-detection\AerialPersonStudio_Final_v1.1\workspace\raw\videos\S_1.mp4,20.0,1280,720,179.3469964072145,60b0f5a4724b5a5b
ap_0000013.jpg,work/standardized/ap_0000013.jpg,train,S_1,video,D:\Data Science\Projects\aerial-human-detection\AerialPersonStudio_Final_v1.1\workspace\raw\videos\S_1.mp4,21.0,1280,720,191.9926202095585,60e1f5a52b4b0b4b
